Work-life Balance,Physical Activity,Stress Management,Lifestyle Satisfaction,Personal Goals,Social Life,Hobbies,Positivity,Time Management,Organization,Self-improvement,Diet,Helping Others,Confidence,Life Control,Nature Labels
6,4,7,5,6,6,7,8,7,6,6,5,7,8,8,"[0, 7, 2, 6]"
7,8,4,9,4,9,8,9,7,8,7,8,9,7,9,"[1, 3, 8, 5]"
8,7,6,5,9,7,6,8,6,8,7,7,8,7,8,"[4, 9, 1, 2]"
9,3,9,3,9,5,4,5,7,6,6,5,5,6,6,"[0, 7, 6, 3]"
4,8,6,8,3,7,8,8,7,8,9,8,7,8,8,"[1, 3, 5, 8]"
5,7,8,6,6,6,7,9,6,7,8,8,8,7,8,"[6, 9, 0, 4]"
7,6,4,9,5,7,7,8,7,7,7,7,7,7,8,"[2, 8, 1, 5]"
8,5,5,6,7,8,6,8,7,8,8,8,7,6,9,"[0, 3, 4, 7]"
6,4,7,5,5,8,7,7,6,7,7,7,8,8,6,"[3, 6, 9, 2]"
6,4,7,5,6,6,7,8,7,6,6,5,7,8,8,"[0, 7, 2, 6]"
7,8,4,9,4,9,8,9,7,8,7,8,9,7,9,"[1, 3, 8, 5]"
8,7,6,5,9,7,6,8,6,8,7,7,8,7,8,"[4, 9, 1, 2]"
9,3,9,3,9,5,4,5,7,6,6,5,5,6,6,"[0, 7, 6, 3]"
4,8,6,8,3,7,8,8,7,8,9,8,7,8,8,"[1, 3, 5, 8]"
5,7,8,6,6,6,7,9,6,7,8,8,8,7,8,"[6, 9, 0, 4]"
7,6,4,9,5,7,7,8,7,7,7,7,7,7,8,"[2, 8, 1, 5]"
8,5,5,6,7,8,6,8,7,8,8,8,7,6,9,"[0, 3, 4, 7]"
6,4,7,5,5,8,7,7,6,7,7,7,8,8,6,"[3, 6, 9, 2]"
6,4,7,5,6,6,7,8,7,6,6,5,7,8,8,"[0, 7, 2, 6]"
7,8,4,9,4,9,8,9,7,8,7,8,9,7,9,"[1, 3, 8, 5]"
8,7,6,5,9,7,6,8,6,8,7,7,8,7,8,"[4, 9, 1, 2]"
9,3,9,3,9,5,4,5,7,6,6,5,5,6,6,"[0, 7, 6, 3]"
4,8,6,8,3,7,8,8,7,8,9,8,7,8,8,"[1, 3, 5, 8]"
5,7,8,6,6,6,7,9,6,7,8,8,8,7,8,"[6, 9, 0, 4]"
7,6,4,9,5,7,7,8,7,7,7,7,7,7,8,"[2, 8, 1, 5]"
8,5,5,6,7,8,6,8,7,8,8,8,7,6,9,"[0, 3, 4, 7]"
6,4,7,5,5,8,7,7,6,7,7,7,8,8,6,"[3, 6, 9, 2]"
6,4,7,5,6,6,7,8,7,6,6,5,7,8,8,"[0, 7, 2, 6]"
7,8,4,9,4,9,8,9,7,8,7,8,9,7,9,"[1, 3, 8, 5]"
8,7,6,5,9,7,6,8,6,8,7,7,8,7,8,"[4, 9, 1, 2]"
9,3,9,3,9,5,4,5,7,6,6,5,5,6,6,"[0, 7, 6, 3]"
4,8,6,8,3,7,8,8,7,8,9,8,7,8,8,"[1, 3, 5, 8]"
5,7,8,6,6,6,7,9,6,7,8,8,8,7,8,"[6, 9, 0, 4]"
7,6,4,9,5,7,7,8,7,7,7,7,7,7,8,"[2, 8, 1, 5]"
8,5,5,6,7,8,6,8,7,8,8,8,7,6,9,"[0, 3, 4, 7]"
6,4,7,5,5,8,7,7,6,7,7,7,8,8,6,"[3, 6, 9, 2]"
6,4,7,5,6,6,7,8,7,6,6,5,7,8,8,"[0, 7, 2, 6]"
7,8,4,9,4,9,8,9,7,8,7,8,9,7,9,"[1, 3, 8, 5]"
8,7,6,5,9,7,6,8,6,8,7,7,8,7,8,"[4, 9, 1, 2]"
9,3,9,3,9,5,4,5,7,6,6,5,5,6,6,"[0, 7, 6, 3]"
4,8,6,8,3,7,8,8,7,8,9,8,7,8,8,"[1, 3, 5, 8]"
5,7,8,6,6,6,7,9,6,7,8,8,8,7,8,"[6, 9, 0, 4]"
7,6,4,9,5,7,7,8,7,7,7,7,7,7,8,"[2, 8, 1, 5]"
8,5,5,6,7,8,6,8,7,8,8,8,7,6,9,"[0, 3, 4, 7]"
6,4,7,5,5,8,7,7,6,7,7,7,8,8,6,"[3, 6, 9, 2]"
6,4,7,5,6,6,7,8,7,6,6,5,7,8,8,"[0, 7, 2, 6]"
7,8,4,9,4,9,8,9,7,8,7,8,9,7,9,"[1, 3, 8, 5]"
8,7,6,5,9,7,6,8,6,8,7,7,8,7,8,"[4, 9, 1, 2]"
9,3,9,3,9,5,4,5,7,6,6,5,5,6,6,"[0, 7, 6, 3]"
4,8,6,8,3,7,8,8,7,8,9,8,7,8,8,"[1, 3, 5, 8]"
5,7,8,6,6,6,7,9,6,7,8,8,8,7,8,"[6, 9, 0, 4]"
7,6,4,9,5,7,7,8,7,7,7,7,7,7,8,"[2, 8, 1, 5]"
8,5,5,6,7,8,6,8,7,8,8,8,7,6,9,"[0, 3, 4, 7]"
6,4,7,5,5,8,7,7,6,7,7,7,8,8,6,"[3, 6, 9, 2]"
6,4,7,5,6,6,7,8,7,6,6,5,7,8,8,"[0, 7, 2, 6]"
7,8,4,9,4,9,8,9,7,8,7,8,9,7,9,"[1, 3, 8, 5]"
8,7,6,5,9,7,6,8,6,8,7,7,8,7,8,"[4, 9, 1, 2]"
9,3,9,3,9,5,4,5,7,6,6,5,5,6,6,"[0, 7, 6, 3]"
4,8,6,8,3,7,8,8,7,8,9,8,7,8,8,"[1, 3, 5, 8]"
5,7,8,6,6,6,7,9,6,7,8,8,8,7,8,"[6, 9, 0, 4]"
7,6,4,9,5,7,7,8,7,7,7,7,7,7,8,"[2, 8, 1, 5]"
8,5,5,6,7,8,6,8,7,8,8,8,7,6,9,"[0, 3, 4, 7]"
6,4,7,5,5,8,7,7,6,7,7,7,8,8,6,"[3, 6, 9, 2]"
6,4,7,5,6,6,7,8,7,6,6,5,7,8,8,"[0, 7, 2, 6]"
7,8,4,9,4,9,8,9,7,8,7,8,9,7,9,"[1, 3, 8, 5]"
8,7,6,5,9,7,6,8,6,8,7,7,8,7,8,"[4, 9, 1, 2]"
9,3,9,3,9,5,4,5,7,6,6,5,5,6,6,"[0, 7, 6, 3]"
4,8,6,8,3,7,8,8,7,8,9,8,7,8,8,"[1, 3, 5, 8]"
5,7,8,6,6,6,7,9,6,7,8,8,8,7,8,"[6, 9, 0, 4]"
7,6,4,9,5,7,7,8,7,7,7,7,7,7,8,"[2, 8, 1, 5]"
8,5,5,6,7,8,6,8,7,8,8,8,7,6,9,"[0, 3, 4, 7]"
6,4,7,5,5,8,7,7,6,7,7,7,8,8,6,"[3, 6, 9, 2]"
6,4,7,5,6,6,7,8,7,6,6,5,7,8,8,"[0, 7, 2, 6]"
7,8,4,9,4,9,8,9,7,8,7,8,9,7,9,"[1, 3, 8, 5]"
8,7,6,5,9,7,6,8,6,8,7,7,8,7,8,"[4, 9, 1, 2]"
9,3,9,3,9,5,4,5,7,6,6,5,5,6,6,"[0, 7, 6, 3]"
4,8,6,8,3,7,8,8,7,8,9,8,7,8,8,"[1, 3, 5, 8]"
5,7,8,6,6,6,7,9,6,7,8,8,8,7,8,"[6, 9, 0, 4]"
7,6,4,9,5,7,7,8,7,7,7,7,7,7,8,"[2, 8, 1, 5]"
8,5,5,6,7,8,6,8,7,8,8,8,7,6,9,"[0, 3, 4, 7]"
6,4,7,5,5,8,7,7,6,7,7,7,8,8,6,"[3, 6, 9, 2]"
6,4,7,5,6,6,7,8,7,6,6,5,7,8,8,"[0, 7, 2, 6]"
7,8,4,9,4,9,8,9,7,8,7,8,9,7,9,"[1, 3, 8, 5]"
8,7,6,5,9,7,6,8,6,8,7,7,8,7,8,"[4, 9, 1, 2]"
9,3,9,3,9,5,4,5,7,6,6,5,5,6,6,"[0, 7, 6, 3]"
4,8,6,8,3,7,8,8,7,8,9,8,7,8,8,"[1, 3, 5, 8]"
5,7,8,6,6,6,7,9,6,7,8,8,8,7,8,"[6, 9, 0, 4]"
7,6,4,9,5,7,7,8,7,7,7,7,7,7,8,"[2, 8, 1, 5]"
8,5,5,6,7,8,6,8,7,8,8,8,7,6,9,"[0, 3, 4, 7]"
6,4,7,5,5,8,7,7,6,7,7,7,8,8,6,"[3, 6, 9, 2]"
6,4,7,5,6,6,7,8,7,6,6,5,7,8,8,"[0, 7, 2, 6]"
7,8,4,9,4,9,8,9,7,8,7,8,9,7,9,"[1, 3, 8, 5]"
8,7,6,5,9,7,6,8,6,8,7,7,8,7,8,"[4, 9, 1, 2]"
9,3,9,3,9,5,4,5,7,6,6,5,5,6,6,"[0, 7, 6, 3]"
4,8,6,8,3,7,8,8,7,8,9,8,7,8,8,"[1, 3, 5, 8]"
5,7,8,6,6,6,7,9,6,7,8,8,8,7,8,"[6, 9, 0, 4]"
7,6,4,9,5,7,7,8,7,7,7,7,7,7,8,"[2, 8, 1, 5]"
8,5,5,6,7,8,6,8,7,8,8,8,7,6,9,"[0, 3, 4, 7]"
6,4,7,5,5,8,7,7,6,7,7,7,8,8,6,"[3, 6, 9, 2]"
6,4,7,5,6,6,7,8,7,6,6,5,7,8,8,"[0, 7, 2, 6]"
7,8,4,9,4,9,8,9,7,8,7,8,9,7,9,"[1, 3, 8, 5]"
8,7,6,5,9,7,6,8,6,8,7,7,8,7,8,"[4, 9, 1, 2]"
9,3,9,3,9,5,4,5,7,6,6,5,5,6,6,"[0, 7, 6, 3]"
4,8,6,8,3,7,8,8,7,8,9,8,7,8,8,"[1, 3, 5, 8]"
5,7,8,6,6,6,7,9,6,7,8,8,8,7,8,"[6, 9, 0, 4]"
7,6,4,9,5,7,7,8,7,7,7,7,7,7,8,"[2, 8, 1, 5]"
8,5,5,6,7,8,6,8,7,8,8,8,7,6,9,"[0, 3, 4, 7]"
6,4,7,5,5,8,7,7,6,7,7,7,8,8,6,"[3, 6, 9, 2]"
6,4,7,5,6,6,7,8,7,6,6,5,7,8,8,"[0, 7, 2, 6]"
7,8,4,9,4,9,8,9,7,8,7,8,9,7,9,"[1, 3, 8, 5]"
8,7,6,5,9,7,6,8,6,8,7,7,8,7,8,"[4, 9, 1, 2]"
9,3,9,3,9,5,4,5,7,6,6,5,5,6,6,"[0, 7, 6, 3]"
4,8,6,8,3,7,8,8,7,8,9,8,7,8,8,"[1, 3, 5, 8]"
5,7,8,6,6,6,7,9,6,7,8,8,8,7,8,"[6, 9, 0, 4]"
7,6,4,9,5,7,7,8,7,7,7,7,7,7,8,"[2, 8, 1, 5]"
8,5,5,6,7,8,6,8,7,8,8,8,7,6,9,"[0, 3, 4, 7]"
6,4,7,5,5,8,7,7,6,7,7,7,8,8,6,"[3, 6, 9, 2]"
6,4,7,5,6,6,7,8,7,6,6,5,7,8,8,"[0, 7, 2, 6]"
7,8,4,9,4,9,8,9,7,8,7,8,9,7,9,"[1, 3, 8, 5]"
8,7,6,5,9,7,6,8,6,8,7,7,8,7,8,"[4, 9, 1, 2]"
9,3,9,3,9,5,4,5,7,6,6,5,5,6,6,"[0, 7, 6, 3]"
4,8,6,8,3,7,8,8,7,8,9,8,7,8,8,"[1, 3, 5, 8]"
5,7,8,6,6,6,7,9,6,7,8,8,8,7,8,"[6, 9, 0, 4]"
7,6,4,9,5,7,7,8,7,7,7,7,7,7,8,"[2, 8, 1, 5]"
8,5,5,6,7,8,6,8,7,8,8,8,7,6,9,"[0, 3, 4, 7]"
6,4,7,5,5,8,7,7,6,7,7,7,8,8,6,"[3, 6, 9, 2]"
